Tm,Season,W,L,T,win_percent,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoffs
MIA,2022,9,8,0,0.529,397,399,-2,-0.1,2,1.8,2.7,-0.9,1
NE,2022,8,9,0,0.471,364,347,17,1,1,2,-0.3,2.3,0
NYJ,2022,7,10,0,0.412,296,316,-20,-1.2,2,0.8,-4,4.8,0
CIN,2022,12,4,0,0.75,418,322,96,6,0.9,6.9,5.5,1.4,1
BAL,2022,10,7,0,0.588,350,315,35,2.1,1.1,3.1,-0.2,3.4,1
PIT,2022,9,8,0,0.529,308,346,-38,-2.2,1.5,-0.8,-3,2.3,0
CLE,2022,7,10,0,0.412,361,381,-20,-1.2,1.1,-0.1,0.7,-0.9,0
JAX,2022,9,8,0,0.529,404,350,54,3.2,-1.4,1.8,1.6,0.2,1
TEN,2022,7,10,0,0.412,298,359,-61,-3.6,0,-3.6,-4.7,1.1,0
IND,2022,4,12,1,0.265,289,427,-138,-8.1,-0.5,-8.6,-4.9,-3.7,0
HOU,2022,3,13,1,0.206,289,420,-131,-7.7,-0.8,-8.5,-5.4,-3.1,0
KC,2022,14,3,0,0.824,496,369,127,7.5,-1.2,6.2,6.8,-0.6,1
LAC,2022,10,7,0,0.588,391,384,7,0.4,-1.3,-0.9,0.1,-1,1
LV,2022,6,11,0,0.353,395,418,-23,-1.4,-1.1,-2.5,1.2,-3.7,0
DEN,2022,5,12,0,0.294,287,359,-72,-4.2,-0.7,-5,-5.6,0.6,0
PHI,2022,14,3,0,0.824,477,344,133,7.8,-1.3,6.5,5.8,0.7,1
DAL,2022,12,5,0,0.706,467,342,125,7.4,-0.8,6.5,5.3,1.3,1
NYG,2022,9,7,1,0.559,365,371,-6,-0.4,0,-0.4,-0.8,0.4,1
WAS,2022,8,8,1,0.5,321,343,-22,-1.3,0.4,-0.9,-3.5,2.6,0
MIN,2022,13,4,0,0.765,424,427,-3,-0.2,0.1,-0.1,2.8,-2.9,1
DET,2022,9,8,0,0.529,453,427,26,1.5,0.7,2.2,4.7,-2.4,0
GB,2022,8,9,0,0.471,370,371,-1,-0.1,0.4,0.3,-0.3,0.6,0
CHI,2022,3,14,0,0.176,326,463,-137,-8.1,1.6,-6.4,-2.5,-4,0
TB,2022,8,9,0,0.471,313,358,-45,-2.6,0.4,-2.3,-3.3,1.1,1
CAR,2022,7,10,0,0.412,347,374,-27,-1.6,-0.6,-2.2,-1.3,-0.9,0
NO,2022,7,10,0,0.412,330,345,-15,-0.9,-0.3,-1.2,-2.8,1.7,0
ATL,2022,7,10,0,0.412,365,386,-21,-1.2,-0.9,-2.1,-0.1,-2,0
SF,2022,13,4,0,0.765,450,277,173,10.2,-2.3,7.9,3.3,4.6,1
SEA,2022,9,8,0,0.529,407,401,6,0.4,-0.8,-0.5,1.9,-2.4,1
LAR,2022,5,12,0,0.294,307,384,-77,-4.5,0.5,-4,-4.1,0,0
ARI,2022,4,13,0,0.235,340,449,-109,-6.4,0.2,-6.2,-1.9,-4.3,0
BUF,2021,11,6,0,0.647,483,289,194,11.4,-1.6,9.8,5,4.8,1
NE,2021,10,7,0,0.588,462,303,159,9.4,-0.9,8.5,3.6,4.8,1
MIA,2021,9,8,0,0.529,341,373,-32,-1.9,-0.8,-2.7,-3.1,0.3,0
NYJ,2021,4,13,0,0.235,310,504,-194,-11.4,1,-10.4,-3.6,-6.7,0
CIN,2021,10,7,0,0.588,460,376,84,4.9,-1.9,3.1,3.4,-0.3,1
PIT,2021,9,7,1,0.559,343,398,-55,-3.2,0.8,-2.5,-2.6,0.1,1
CLE,2021,8,9,0,0.471,349,371,-22,-1.3,0,-1.3,-2.7,1.3,0
BAL,2021,8,9,0,0.471,387,392,-5,-0.3,0,-0.3,-0.3,0,0
TEN,2021,12,5,0,0.706,419,354,65,3.8,-0.4,3.4,1.8,1.6,1
IND,2021,9,8,0,0.529,451,365,86,5.1,-0.6,4.4,3.3,1.1,0
HOU,2021,4,13,0,0.235,280,452,-172,-10.1,0.4,-9.7,-6.3,-3.4,0
JAX,2021,3,14,0,0.176,253,457,-204,-12,0.6,-11.4,-7.7,-3.7,0
KC,2021,12,5,0,0.706,480,364,116,6.8,0.6,7.4,5.4,2,1
LV,2021,10,7,0,0.588,374,439,-65,-3.8,0.6,-3.3,-0.7,-2.6,1
LAC,2021,9,8,0,0.529,474,459,15,0.9,0.2,1.1,5.3,-4.2,0
DEN,2021,7,10,0,0.412,335,322,13,0.8,-1.3,-0.5,-4.7,4.2,0
DAL,2021,12,5,0,0.706,530,358,172,10.1,-0.2,9.9,8.2,1.7,1
PHI,2021,9,8,0,0.529,444,385,59,3.5,-1,2.5,2.6,-0.1,1
WAS,2021,7,10,0,0.412,335,434,-99,-5.8,1.6,-4.2,-2.7,-1.5,0
