Tm,Season,W,L,T,win_percent,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoffs
BAL,2001,10,6,0,0.625,303,265,38,2.4,0.8,3.2,-0.8,4,1
CLE,2001,7,9,0,0.438,285,319,-34,-2.1,1.3,-0.8,-0.9,0.1,0
TEN,2001,7,9,0,0.438,336,388,-52,-3.3,1.2,-2,2.4,-4.4,0
JAX,2001,6,10,0,0.375,294,286,8,0.5,0.4,0.9,-1.1,2,0
CIN,2001,6,10,0,0.375,226,309,-83,-5.2,1.7,-3.5,-4.5,1,0
LV,2001,10,6,0,0.625,399,327,72,4.5,-0.9,3.6,4,-0.4,1
SEA,2001,9,7,0,0.563,301,324,-23,-1.4,-0.4,-1.9,-1.4,-0.4,0
DEN,2001,8,8,0,0.5,340,339,1,0.1,-0.5,-0.5,0.5,-1,0
KC,2001,6,10,0,0.375,320,344,-24,-1.5,0.3,-1.2,-0.2,-1,0
LAC,2001,5,11,0,0.313,332,321,11,0.7,-1,-0.3,0.3,-0.6,0
PHI,2001,11,5,0,0.688,343,208,135,8.4,-0.7,7.7,0.9,6.8,1
WAS,2001,8,8,0,0.5,256,303,-47,-2.9,-0.7,-3.7,-4,0.4,0
NYG,2001,7,9,0,0.438,294,321,-27,-1.7,-0.1,-1.8,-1.8,0,0
ARI,2001,7,9,0,0.438,295,343,-48,-3,-1.2,-4.2,-1.5,-2.6,0
DAL,2001,5,11,0,0.313,246,338,-92,-5.8,-0.2,-6,-4.5,-1.5,0
CHI,2001,13,3,0,0.813,338,203,135,8.4,-0.5,7.9,0.9,7.1,1
GB,2001,12,4,0,0.75,390,266,124,7.8,-1.1,6.6,4,2.6,1
TB,2001,9,7,0,0.563,324,280,44,2.8,1.3,4,0.7,3.3,1
MIN,2001,5,11,0,0.313,290,390,-100,-6.3,1.5,-4.7,-0.8,-3.9,0
DET,2001,2,14,0,0.125,270,424,-154,-9.6,2.4,-7.2,-2,-5.2,0
LAR,2001,14,2,0,0.875,503,273,230,14.4,-1,13.4,10.4,2.9,1
SF,2001,12,4,0,0.75,409,282,127,7.9,-1.1,6.8,4.2,2.7,1
NO,2001,7,9,0,0.438,333,409,-76,-4.8,-0.1,-4.8,-0.1,-4.7,0
ATL,2001,7,9,0,0.438,291,377,-86,-5.4,0.7,-4.7,-2.7,-2,0
CAR,2001,1,15,0,0.063,253,410,-157,-9.8,0.9,-8.9,-4.6,-4.4,0
MIA,2000,11,5,0,0.688,323,226,97,6.1,1,7.1,0,7.1,1
IND,2000,10,6,0,0.625,429,326,103,6.4,1.5,7.9,7.1,0.8,1
NYJ,2000,9,7,0,0.563,321,321,0,0,3.5,3.5,1.4,2.2,0
BUF,2000,8,8,0,0.5,315,350,-35,-2.2,2.2,0,0.5,-0.5,0
NE,2000,5,11,0,0.313,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,0
TEN,2000,13,3,0,0.813,346,191,155,9.7,-1.3,8.3,1.5,6.8,1
BAL,2000,12,4,0,0.75,333,165,168,10.5,-2.5,8,0,8,1
PIT,2000,9,7,0,0.563,321,255,66,4.1,-0.2,3.9,0.6,3.3,0
JAX,2000,7,9,0,0.438,367,327,40,2.5,-1.4,1.1,3.2,-2.1,0
CIN,2000,4,12,0,0.25,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4,0
CLE,2000,3,13,0,0.188,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,0
LV,2000,12,4,0,0.75,479,299,180,11.3,-1.5,9.7,8,1.8,1
DEN,2000,11,5,0,0.688,485,369,116,7.3,-2.2,5,7.8,-2.7,1
KC,2000,7,9,0,0.438,355,354,1,0.1,0.6,0.6,0.1,0.6,0
SEA,2000,6,10,0,0.375,320,405,-85,-5.3,1.6,-3.7,-1.4,-2.3,0
LAC,2000,1,15,0,0.063,269,440,-171,-10.7,2.6,-8.1,-3.7,-4.4,0
NYG,2000,12,4,0,0.75,328,246,82,5.1,-2.7,2.4,-1.3,3.8,1
PHI,2000,11,5,0,0.688,351,245,106,6.6,-3.6,3.1,1,2.1,1
WAS,2000,8,8,0,0.5,281,269,12,0.8,0.2,1,-2.9,3.8,0
DAL,2000,5,11,0,0.313,294,361,-67,-4.2,-0.4,-4.6,-1.5,-3,0
ARI,2000,3,13,0,0.188,210,443,-233,-14.6,-0.7,-15.2,-7.2,-8.1,0
MIN,2000,11,5,0,0.688,397,371,26,1.6,0.3,1.9,4.3,-2.3,1
TB,2000,10,6,0,0.625,388,269,119,7.4,-0.1,7.3,3.4,3.9,1
GB,2000,9,7,0,0.563,353,323,30,1.9,0.6,2.5,1.8,0.7,0
DET,2000,9,7,0,0.563,307,307,0,0,1.4,1.4,-0.1,1.5,0
CHI,2000,5,11,0,0.313,216,355,-139,-8.7,2.4,-6.3,-6.4,0.1,0
NO,2000,10,6,0,0.625,354,305,49,3.1,-2.2,0.9,-1.2,2.1,1
LAR,2000,10,6,0,0.625,540,471,69,4.3,-1.2,3.1,12.6,-9.5,1
CAR,2000,7,9,0,0.438,310,310,0,0,-1.1,-1.1,-3.6,2.5,0
SF,2000,6,10,0,0.375,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5,0
ATL,2000,4,12,0,0.25,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,0
IND,1999,13,3,0,0.813,423,333,90,5.6,0.5,6.1,6.6,-0.5,1
BUF,1999,11,5,0,0.688,320,229,91,5.7,1.5,7.1,-0.2,7.4,1
MIA,1999,9,7,0,0.563,326,336,-10,-0.6,2.5,1.9,1.2,0.7,1
NYJ,1999,8,8,0,0.5,308,309,-1,-0.1,3.1,3.1,0.2,2.9,0
NE,1999,8,8,0,0.5,299,284,15,0.9,1.3,2.2,-1,3.2,0
JAX,1999,14,2,0,0.875,396,217,179,11.2,-4.8,6.4,1.3,5.1,1
TEN,1999,13,3,0,0.813,392,324,68,4.3,-3.2,1,2,-1,1
BAL,1999,8,8,0,0.5,324,277,47,2.9,-2,0.9,-1.6,2.5,0
PIT,1999,6,10,0,0.375,317,320,-3,-0.2,-2.2,-2.4,-2.2,-0.2,0
CIN,1999,4,12,0,0.25,283,460,-177,-11.1,-0.5,-11.5,-3.3,-8.2,0
CLE,1999,2,14,0,0.125,217,437,-220,-13.8,-0.3,-14.1,-7.6,-6.5,0
SEA,1999,9,7,0,0.563,338,298,40,2.5,2,4.5,1.9,2.6,1
KC,1999,9,7,0,0.563,390,322,68,4.3,2.6,6.8,5.5,1.3,0
LAC,1999,8,8,0,0.5,269,316,-47,-2.9,2,-1,-3.9,2.9,0
LV,1999,8,8,0,0.5,390,329,61,3.8,2.9,6.8,5.7,1,0
DEN,1999,6,10,0,0.375,314,318,-4,-0.3,3.6,3.4,1,2.4,0
WAS,1999,10,6,0,0.625,443,377,66,4.1,-1.3,2.9,6.8,-3.9,1
DAL,1999,8,8,0,0.5,352,276,76,4.8,-1.6,3.1,-0.3,3.4,1
NYG,1999,7,9,0,0.438,299,358,-59,-3.7,0.7,-3,-1.8,-1.2,0
ARI,1999,6,10,0,0.375,245,382,-137,-8.6,-0.2,-8.8,-5.5,-3.2,0
PHI,1999,5,11,0,0.313,272,357,-85,-5.3,1.1,-4.2,-3.3,-0.9,0
TB,1999,11,5,0,0.688,270,235,35,2.2,0.4,2.6,-4.1,6.7,1
MIN,1999,10,6,0,0.625,399,335,64,4,0.4,4.4,5.2,-0.8,1
DET,1999,8,8,0,0.5,322,323,-1,-0.1,2,1.9,0.1,1.8,1
GB,1999,8,8,0,0.5,357,341,16,1,0.6,1.6,2.5,-0.9,0
CHI,1999,6,10,0,0.375,272,341,-69,-4.3,2.3,-2,-3,1,0
LAR,1999,13,3,0,0.813,526,242,284,17.8,-5.9,11.9,8.7,3.2,1
CAR,1999,8,8,0,0.5,421,381,40,2.5,-3.6,-1.1,3,-4,0
ATL,1999,5,11,0,0.313,285,380,-95,-5.9,-1.1,-7.1,-4,-3,0
SF,1999,4,12,0,0.25,295,453,-158,-9.9,-1.5,-11.3,-4.5,-6.8,0
NO,1999,3,13,0,0.188,260,434,-174,-10.9,-1.3,-12.1,-5.3,-6.9,0
NYJ,1998,12,4,0,0.75,416,266,150,9.4,1.8,11.2,5.4,5.8,1
MIA,1998,10,6,0,0.625,321,265,56,3.5,2.4,5.9,-0.7,6.5,1
BUF,1998,10,6,0,0.625,400,333,67,4.2,1,5.2,4.4,0.7,1
NE,1998,9,7,0,0.563,337,329,8,0.5,3.4,3.9,1.1,2.8,1
IND,1998,3,13,0,0.188,310,444,-134,-8.4,3,-5.4,-0.1,-5.3,0
JAX,1998,11,5,0,0.688,392,338,54,3.4,-0.9,2.5,3.1,-0.6,1
TEN,1998,8,8,0,0.5,330,320,10,0.6,-0.6,0,-0.5,0.5,0
PIT,1998,7,9,0,0.438,263,303,-40,-2.5,-1.3,-3.8,-5.1,1.3,0
BAL,1998,6,10,0,0.375,269,335,-66,-4.1,-1.3,-5.4,-5.2,-0.2,0
CIN,1998,3,13,0,0.188,268,452,-184,-11.5,0.5,-11,-4.5,-6.5,0
DEN,1998,14,2,0,0.875,501,309,192,12,-3.1,8.9,9.5,-0.6,1
LV,1998,8,8,0,0.5,288,356,-68,-4.3,-1.4,-5.6,-4.1,-1.5,0
SEA,1998,8,8,0,0.5,372,310,62,3.9,-2.4,1.5,0.9,0.6,0
KC,1998,7,9,0,0.438,327,363,-36,-2.3,-0.8,-3.1,-0.7,-2.4,0
LAC,1998,5,11,0,0.313,241,342,-101,-6.3,-2.1,-8.4,-7.7,-0.7,0
DAL,1998,10,6,0,0.625,381,275,106,6.6,-3.1,3.5,0.9,2.6,1
ARI,1998,9,7,0,0.563,325,378,-53,-3.3,-4.1,-7.4,-1.6,-5.8,1
NYG,1998,8,8,0,0.5,287,309,-22,-1.4,-1.9,-3.2,-4.3,1.1,0
WAS,1998,6,10,0,0.375,319,421,-102,-6.4,-1.1,-7.5,-1.5,-6,0
PHI,1998,3,13,0,0.188,161,344,-183,-11.4,-1.3,-12.8,-12.3,-0.5,0
MIN,1998,15,1,0,0.938,556,296,260,16.3,-1.4,14.9,13.2,1.6,1
GB,1998,11,5,0,0.688,408,319,89,5.6,-0.6,5,4.3,0.7,1
TB,1998,8,8,0,0.5,314,295,19,1.2,0.1,1.3,-2.3,3.5,0
DET,1998,5,11,0,0.313,306,378,-72,-4.5,1.1,-3.4,-1.9,-1.5,0
CHI,1998,4,12,0,0.25,276,368,-92,-5.8,2,-3.7,-3.4,-0.3,0
ATL,1998,14,2,0,0.875,442,289,153,9.6,0.4,10,7,3,1
SF,1998,12,4,0,0.75,479,328,151,9.4,1.2,10.6,8.8,1.8,1
NO,1998,6,10,0,0.375,305,359,-54,-3.4,3.5,0.1,-1.5,1.6,0
CAR,1998,4,12,0,0.25,336,413,-77,-4.8,3.5,-1.3,1,-2.4,0
LAR,1998,4,12,0,0.25,285,378,-93,-5.8,3.5,-2.3,-2.3,0,0
NE,1997,10,6,0,0.625,369,289,80,5,0.3,5.3,2.3,3,1
MIA,1997,9,7,0,0.563,339,327,12,0.8,0.6,1.3,1,0.3,1
NYJ,1997,9,7,0,0.563,348,287,61,3.8,-0.9,2.9,0.1,2.8,0
BUF,1997,6,10,0,0.375,255,367,-112,-7,2.5,-4.5,-4,-0.5,0
IND,1997,3,13,0,0.188,313,401,-88,-5.5,1.2,-4.3,-0.6,-3.8,0
PIT,1997,11,5,0,0.688,372,307,65,4.1,1.3,5.3,2.7,2.6,1
JAX,1997,11,5,0,0.688,394,318,76,4.8,0.7,5.5,4.4,1,1
TEN,1997,8,8,0,0.5,333,310,23,1.4,0.2,1.7,-0.3,1.9,0
CIN,1997,7,9,0,0.438,355,405,-50,-3.1,1,-2.2,1.8,-4,0
BAL,1997,6,9,1,0.406,326,345,-19,-1.2,0.6,-0.6,-0.4,-0.2,0
KC,1997,13,3,0,0.813,375,232,143,8.9,-0.5,8.4,1.8,6.6,1
DEN,1997,12,4,0,0.75,472,287,185,11.6,-0.9,10.7,8.1,2.6,1
SEA,1997,8,8,0,0.5,365,362,3,0.2,0,0.1,1.8,-1.7,0
LV,1997,4,12,0,0.25,324,419,-95,-5.9,0.8,-5.1,-0.1,-5,0
LAC,1997,4,12,0,0.25,266,425,-159,-9.9,1,-8.9,-4.1,-4.8,0
NYG,1997,10,5,1,0.656,307,265,42,2.6,-1.1,1.5,-1.8,3.3,1
WAS,1997,8,7,1,0.531,327,289,38,2.4,-1.1,1.3,-0.6,1.8,0
PHI,1997,6,9,1,0.406,317,372,-55,-3.4,0.5,-3,-0.7,-2.3,0
DAL,1997,6,10,0,0.375,304,314,-10,-0.6,-0.1,-0.8,-1.7,1,0
ARI,1997,4,12,0,0.25,283,379,-96,-6,-0.4,-6.4,-2.6,-3.8,0
GB,1997,13,3,0,0.813,422,282,140,8.8,-1.1,7.7,5.3,2.4,1
TB,1997,10,6,0,0.625,299,263,36,2.3,0.5,2.7,-2.4,5.1,1
DET,1997,9,7,0,0.563,379,306,73,4.6,-0.6,4,3,0.9,1
MIN,1997,9,7,0,0.563,354,359,-5,-0.3,0.2,-0.1,1.7,-1.8,1
CHI,1997,4,12,0,0.25,263,421,-158,-9.9,1.4,-8.5,-3.1,-5.3,0
SF,1997,13,3,0,0.813,375,265,110,6.9,-1.8,5.1,2.4,2.7,1
CAR,1997,7,9,0,0.438,265,314,-49,-3.1,-0.5,-3.6,-4.4,0.8,0
ATL,1997,7,9,0,0.438,320,361,-41,-2.6,-1.6,-4.2,-1.2,-2.9,0
NO,1997,6,10,0,0.375,237,327,-90,-5.6,-1.8,-7.4,-6.8,-0.6,0
LAR,1997,5,11,0,0.313,299,359,-60,-3.8,-0.2,-4,-1.8,-2.2,0
NE,1996,11,5,0,0.688,418,313,105,6.6,-1.5,5.1,4.9,0.2,1
BUF,1996,10,6,0,0.625,319,266,53,3.3,-0.4,2.9,-1,3.9,1
IND,1996,9,7,0,0.563,317,334,-17,-1.1,-0.6,-1.6,-1.8,0.2,1
MIA,1996,8,8,0,0.5,339,325,14,0.9,-0.6,0.3,0.6,-0.4,0
NYJ,1996,1,15,0,0.063,279,454,-175,-10.9,0.8,-10.1,-2.5,-7.6,0
PIT,1996,10,6,0,0.625,344,257,87,5.4,-0.3,5.2,0,5.1,1
JAX,1996,9,7,0,0.563,325,335,-10,-0.6,-0.9,-1.5,-1.6,0.1,1
CIN,1996,8,8,0,0.5,372,369,3,0.2,-0.3,-0.1,2.5,-2.6,0
TEN,1996,8,8,0,0.5,345,319,26,1.6,-0.7,1,0.1,0.8,0
BAL,1996,4,12,0,0.25,371,441,-70,-4.4,1.4,-2.9,3.9,-6.8,0
DEN,1996,13,3,0,0.813,391,275,116,7.3,0.3,7.6,3.7,3.9,1
KC,1996,9,7,0,0.563,297,300,-3,-0.2,2,1.8,-0.7,2.5,0
LAC,1996,8,8,0,0.5,310,376,-66,-4.1,2.4,-1.8,0.4,-2.1,0
LV,1996,7,9,0,0.438,340,293,47,2.9,-0.5,2.4,0.3,2.1,0
SEA,1996,7,9,0,0.438,317,376,-59,-3.7,2,-1.7,1,-2.6,0
DAL,1996,10,6,0,0.625,286,250,36,2.3,0.1,2.4,-2.9,5.3,1
PHI,1996,10,6,0,0.625,363,341,22,1.4,-0.8,0.6,2.1,-1.6,1
WAS,1996,9,7,0,0.563,364,312,52,3.3,-1.4,1.8,2.3,-0.4,0
ARI,1996,7,9,0,0.438,300,397,-97,-6.1,-1.4,-7.5,-1.7,-5.8,0
NYG,1996,6,10,0,0.375,242,297,-55,-3.4,-0.7,-4.1,-5.7,1.5,0
GB,1996,13,3,0,0.813,456,210,246,15.4,-0.1,15.3,8.7,6.6,1
MIN,1996,9,7,0,0.563,298,315,-17,-1.1,0.9,-0.1,-0.9,0.7,1
CHI,1996,7,9,0,0.438,283,305,-22,-1.4,1.1,-0.2,-1.4,1.2,0
TB,1996,6,10,0,0.375,221,293,-72,-4.5,1.5,-3,-5.9,2.9,0
DET,1996,5,11,0,0.313,302,368,-66,-4.1,1.2,-2.9,-0.4,-2.5,0
CAR,1996,12,4,0,0.75,367,218,149,9.3,-2.3,7.1,1.4,5.6,1
SF,1996,12,4,0,0.75,398,257,141,8.8,-0.8,8,3.7,4.3,1
LAR,1996,6,10,0,0.375,303,409,-106,-6.6,0.3,-6.3,-1.7,-4.6,0
ATL,1996,3,13,0,0.188,309,461,-152,-9.5,0.4,-9.1,-0.2,-8.9,0
NO,1996,3,13,0,0.188,229,339,-110,-6.9,-1.2,-8.1,-7.1,-1,0
BUF,1995,10,6,0,0.625,350,335,15,0.9,-1.8,-0.9,-0.5,-0.4,1
